,latency_2,latency_3,latency_4,latency_8
conv_stem,9.236491403760706,11.496562638212318,10.14523927448413,10.946957343054011
blocks.0.0.conv_dw,27.450704564173652,36.134589503571675,34.84968566837277,40.46897038057387
blocks.0.0.conv_pw,4.746454016669056,6.754977736104657,7.570685617434274,9.895751538695295
blocks.1.0.conv_pw,8.593684896709828,20.695701051299206,18.62447129234879,28.79445875234065
blocks.1.0.conv_dw,24.937102642968817,60.75874314511021,54.552617976796625,84.8264429064307
blocks.1.0.conv_pwl,0.18816,0.28224,0.9696011764994241,2.886810970183943
blocks.1.1.conv_pw,4.555409968723883,5.213629024756824,7.4219779757947935,12.851917751181873
blocks.1.1.conv_dw,68.76371995885955,77.91745953384878,112.1871434203073,199.8505700868944
blocks.1.1.conv_pwl,0.18816,0.28224,1.2387872565504057,3.7312631542599113
blocks.2.0.conv_pw,4.555409968723883,5.213629024756824,7.4219779757947935,12.851917751181873
blocks.2.0.conv_dw,17.19092998971489,19.479364883462196,28.046785855076823,49.9626425217236
blocks.2.0.conv_pwl,0.06286222222222224,0.09425454545454547,0.12559058823529412,0.25088
blocks.2.1.conv_pw,0.36646346398938795,1.6114652515149737,2.108052844017403,3.723393197882558
blocks.2.1.conv_dw,0.6690335116875284,24.416407745104728,36.150032416810205,66.12226155303759
blocks.2.1.conv_pwl,0.06286222222222224,0.09425454545454547,0.12559058823529412,0.25088
blocks.2.2.conv_pw,0.36646346398938795,1.6114652515149737,2.108052844017403,3.723393197882558
blocks.2.2.conv_dw,0.6690335116875284,24.416407745104728,36.150032416810205,66.12226155303759
blocks.2.2.conv_pwl,0.06286222222222224,0.09425454545454547,0.12559058823529412,0.25088
blocks.3.0.conv_pw,0.36646346398938795,1.6114652515149737,2.108052844017403,3.723393197882558
blocks.3.0.conv_dw,0.393795,6.104101936276182,9.037508104202551,16.530565388259397
blocks.3.0.conv_pwl,0.03162352941176471,0.04712727272727273,0.06299151515151516,0.12544
blocks.3.1.conv_pw,0.18843711340206185,0.2825525581395349,0.5429647819540929,2.0030149911680724
blocks.3.1.conv_dw,0.351795,0.439745,0.615645,37.07461081641874
blocks.3.1.conv_pwl,0.03162352941176471,0.04712727272727273,0.06299151515151516,0.12544
blocks.3.2.conv_pw,0.18843711340206185,0.2825525581395349,0.5429647819540929,2.0030149911680724
blocks.3.2.conv_dw,0.351795,0.439745,0.615645,37.07461081641874
blocks.3.2.conv_pwl,0.03162352941176471,0.04712727272727273,0.06299151515151516,0.12544
blocks.3.3.conv_pw,0.18843711340206185,0.2825525581395349,0.5429647819540929,2.0030149911680724
blocks.3.3.conv_dw,0.351795,0.439745,0.615645,37.07461081641874
blocks.3.3.conv_pwl,0.03162352941176471,0.04712727272727273,0.06299151515151516,0.12544
blocks.4.0.conv_pw,0.18843711340206185,0.2825525581395349,0.5429647819540929,2.0030149911680724
blocks.4.0.conv_dw,0.351795,0.439745,0.615645,37.07461081641874
blocks.4.0.conv_pwl,0.0473088,0.07086545454545456,0.09435428571428571,0.18816
blocks.4.1.conv_pw,0.28251806896551723,0.7482465020206556,1.9113536818703127,4.6560015131899375
blocks.4.1.conv_dw,0.655745,0.918045,31.988546355799937,123.59060848689366
blocks.4.1.conv_pwl,0.0473088,0.07086545454545456,0.09435428571428571,0.18816
blocks.4.2.conv_pw,0.28251806896551723,0.7482465020206556,1.9113536818703127,4.6560015131899375
blocks.4.2.conv_dw,0.655745,0.918045,31.988546355799937,123.59060848689366
blocks.4.2.conv_pwl,0.0473088,0.07086545454545456,0.09435428571428571,0.18816
blocks.5.0.conv_pw,0.28251806896551723,0.7482465020206556,1.9113536818703127,4.6560015131899375
blocks.5.0.conv_dw,0.655745,0.918045,7.997136588949984,30.897652121723414
blocks.5.0.conv_pwl,0.01966829268292683,0.02951111111111111,0.03950617283950617,0.0784
blocks.5.1.conv_pw,0.11790871369294607,0.17656822429906543,0.23534968814968812,1.4262600752055403
blocks.5.1.conv_dw,0.348075,0.478605,0.696155,1.305295
blocks.5.1.conv_pwl,0.020435,0.02951111111111111,0.03950617283950617,0.0784
blocks.5.2.conv_pw,0.11790871369294607,0.17656822429906543,0.23534968814968812,1.4262600752055403
blocks.5.2.conv_dw,0.348075,0.478605,0.696155,1.305295
blocks.5.2.conv_pwl,0.020435,0.02951111111111111,0.03950617283950617,0.0784
blocks.6.0.conv_pw,0.11790871369294607,0.17656822429906543,0.23534968814968812,1.4262600752055403
blocks.6.0.conv_dw,0.348075,0.478605,0.696155,1.305295
blocks.6.0.conv_pwl,0.03950617283950617,0.05885607476635515,0.07854906832298135,0.1568
conv_head,0.042015,0.053475,0.080215,0.152795
