,latency_2,latency_3,latency_4,latency_8
conv1,1.511867027,6.291903154,12.20547462,12.62526904
layer1.0.conv1,0.50176,11.1549684,32.4802745,33.41517568
layer1.0.conv2,0.50176,11.1549684,32.4802745,33.41517568
layer1.1.conv1,0.50176,11.1549684,32.4802745,33.41517568
layer1.1.conv2,0.50176,11.1549684,32.4802745,33.41517568
layer2.0.conv1,0.25088,0.705197115,8.626914535,13.70520629
layer2.0.conv2,1.00352,1.506315696,59.0502745,100.0815937
layer2.0.shortcut.0,0.25088,0.467462762,1.983555548,2.912471719
layer2.1.conv1,0.25088,0.376578924,14.76256862,25.02039842
layer2.1.conv2,0.25088,0.376578924,14.76256862,25.02039842
layer3.0.conv1,0.12544,0.188249302,0.251157829,7.562047976
layer3.0.conv2,0.50176,0.75264,1.004384358,16.75305854
layer3.0.shortcut.0,0.12544,0.18825724,0.251147951,1.702837498
layer3.1.conv1,0.12544,0.18816,0.295745,4.188264634
layer3.1.conv2,0.12544,0.18816,0.295745,4.188264634
layer4.0.conv1,0.189275,0.141955,0.212935,0.378555
layer4.0.conv2,0.373595,0.377464365,0.502306665,1.00352
layer4.0.shortcut.0,0.06272,0.09408,0.12544,0.25088
layer4.1.conv1,0.373595,0.140095,0.210145,0.373595
layer4.1.conv2,0.373595,0.140095,0.210145,0.373595
