,latency_32
quant_init_block_convbn,0.10240000486373901
stage1.unit1.quant_convbn1,0.10229760408401489
stage1.unit1.quant_convbn2,0.09492480158805847
stage1.unit2.quant_convbn1,0.10057599544525146
stage1.unit2.quant_convbn2,0.09452160000801087
stage1.unit3.quant_convbn1,0.10168319940567017
stage1.unit3.quant_convbn2,0.09864320158958435
stage2.unit1.quant_convbn1,0.08942400217056275
stage2.unit1.quant_convbn2,0.09482240080833435
stage2.unit1.quant_identity_convbn,0.08488960266113281
stage2.unit2.quant_convbn1,0.10065920352935791
stage2.unit2.quant_convbn2,0.0946175992488861
stage2.unit3.quant_convbn1,0.10168639421463013
stage2.unit3.quant_convbn2,0.09874560236930847
stage3.unit1.quant_convbn1,0.09011200070381165
stage3.unit1.quant_convbn2,0.09511039853096008
stage3.unit1.quant_identity_convbn,0.08487359881401062
stage3.unit2.quant_convbn1,0.10086400508880615
stage3.unit2.quant_convbn2,0.09646080136299133
stage3.unit3.quant_convbn1,0.10168639421463013
stage3.unit3.quant_convbn2,0.10280959606170655
