LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 158341.0, 3557400, 1.0, 158391.0, 3565632, 146.0, 158421.0, 822912, -3275.0, 142863.0, 326046, -983.0, -1.0, 9408, 6834.0, 159069.0, 774431,
1, 1.0, 117333.0, 3359232, 1.0, 117361.0, 3391488, 575.0, 117391.0, 198400, -3275.0, 113515.0, 509426, -3275.0, 59159.0, 51182, 20991.0, 118103.0, 186655,
2, 1.0, 117333.0, 3359232, 1.0, 117361.0, 3391488, 575.0, 117391.0, 198400, -3275.0, 113515.0, 509426, -3275.0, 59159.0, 51182, 20991.0, 118103.0, 186655,
3, 1.0, 117333.0, 3359232, 1.0, 117361.0, 3391488, 575.0, 117391.0, 198400, -3275.0, 113515.0, 509426, -3275.0, 59159.0, 51182, 20991.0, 118103.0, 186655,
4, 1.0, 117333.0, 3359232, 1.0, 117361.0, 3391488, 575.0, 117391.0, 198400, -3275.0, 113515.0, 509426, -3275.0, 59159.0, 51182, 20991.0, 118103.0, 186655,
5, 1.0, 63560.0, 1806336, 1.0, 63769.0, 1843200, 575.0, 63799.0, 106752, -3275.0, 62144.0, 868287, -3275.0, 48313.0, 116682, 21022.0, 63863.0, 100383,
6, 1.0, 106773.0, 3115008, 1.0, 106801.0, 3244032, 1151.0, 106831.0, 92160, -3275.0, 105298.0, 496896, -3275.0, 106730.0, 3244032, 40046.0, 107487.0, 86559,
7, 1.0, 13430.0, 215296, 1.0, 13577.0, 221184, 63.0, 13607.0, 114560, -3275.0, 13135.0, 200704, -852.0, -1.0, 8192, 4134.0, 13899.0, 107679,
8, 1.0, 106773.0, 3115008, 1.0, 106801.0, 3244032, 1151.0, 106831.0, 92160, -3275.0, 105298.0, 496896, -3275.0, 106730.0, 3244032, 40046.0, 107487.0, 86559,
9, 1.0, 106773.0, 3115008, 1.0, 106801.0, 3244032, 1151.0, 106831.0, 92160, -3275.0, 105298.0, 496896, -3275.0, 106730.0, 3244032, 40046.0, 107487.0, 86559,
10, 1.0, 67540.0, 1806336, 1.0, 67953.0, 2064384, 1151.0, 67983.0, 53760, -3275.0, 66075.0, 996955, -3275.0, 67903.0, 2064384, 44882.0, 68527.0, 50207,
11, 1.0, 94593.0, 2654208, 1.0, 94609.0, 2949120, 2303.0, 94639.0, 39424, -3275.0, 89185.0, 515207, -3275.0, 94543.0, 2949120, 85144.0, 94767.0, 36895,
12, 1.0, 11924.0, 230400, 1.0, 12129.0, 262144, 127.0, 12159.0, 61696, -2555.0, -1.0, 25088, -3275.0, 10794.0, 36846, 6824.0, 12935.0, 57631,
13, 1.0, 94593.0, 2654208, 1.0, 94609.0, 2949120, 2303.0, 94639.0, 39424, -3275.0, 89185.0, 515207, -3275.0, 94543.0, 2949120, 85144.0, 94767.0, 36895,
14, 1.0, 94593.0, 2654208, 1.0, 94609.0, 2949120, 2303.0, 94639.0, 39424, -3275.0, 89185.0, 515207, -3275.0, 94543.0, 2949120, 85144.0, 94767.0, 36895,
15, 1.0, 75658.0, 1806336, 1.0, 75681.0, 2359296, 2303.0, 75711.0, 27136, -3275.0, 72826.0, 1076144, -3275.0, 75625.0, 2359296, 75711.0, 76494.0, 25088,
16, 1.0, 74682.0, 1843200, 1.0, 74689.0, 2359296, 4614.0, 74719.0, 13824, -2555.0, -1.0, 25088, -3275.0, 74633.0, 2359296, 74719.0, 75118.0, 12800,
17, 1.0, 10136.0, 262144, 1.0, 10145.0, 262144, 255.0, 10175.0, 34816, -1310.0, -1.0, 12544, -3275.0, 9822.0, 171942, 10175.0, 11198.0, 32768,
18, 1.0, 74682.0, 1843200, 1.0, 74689.0, 2359296, 4614.0, 74719.0, 13824, -2555.0, -1.0, 25088, -3275.0, 74633.0, 2359296, 74719.0, 75118.0, 12800,
19, 1.0, 74682.0, 1843200, 1.0, 74689.0, 2359296, 4614.0, 74719.0, 13824, -2555.0, -1.0, 25088, -3275.0, 74633.0, 2359296, 74719.0, 75118.0, 12800,
20, 1.0, 18306.0, 16384, 1.0, 18313.0, 512000, 542.0, 18343.0, 3048, -66.0, -1.0, 512, -3275.0, 17167.0, 512000, 18367.0, 18398.0, 1000,
